"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.377620483345553,0.762,0.604,0,"1","ANP32B"
0,0.649623167378498,0.555,0.397,0,"1","TOB1"
0,0.974210265577209,0.306,0.148,0,"1","PLK3"
0,0.444734477780889,0.553,0.396,0,"1","IRF2BP2"
0,0.840769953942093,0.338,0.182,0,"1","TESPA1"
0,1.37269241085665,0.262,0.106,0,"1","LPAR6"
0,0.464604085064098,0.593,0.437,0,"1","PPP1CB"
0,0.354348154638687,0.721,0.566,0,"1","PPP1R15A"
0,0.460284275472238,0.895,0.741,0,"1","EIF3E"
0,0.317163005833666,0.678,0.525,0,"1","C6orf48"
0,0.406949352479978,0.545,0.392,0,"1","PRDX2"
0,0.479809168139072,0.493,0.34,0,"1","SPTAN1"
0,0.456891403259047,0.902,0.751,0,"1","FYB1"
0,0.368114576087973,0.549,0.398,0,"1","TXN"
0,0.484708052272775,0.877,0.728,0,"1","ANKRD12"
0,0.70181615938714,0.347,0.198,0,"1","HELB"
0,0.469618230463216,0.914,0.766,0,"1","RPS17"
0,0.634862261174885,0.399,0.251,0,"1","MALT1"
0,0.976432814208746,0.352,0.204,0,"1","CITED2"
0,0.962301807665545,0.303,0.155,0,"1","PIM2"
0,0.539757082535515,0.557,0.41,0,"1","IER5"
0,0.29836727078665,0.618,0.471,0,"1","NDFIP1"
0,0.629763667078249,0.369,0.222,0,"1","PIM3"
0,0.481339409514854,0.731,0.585,0,"1","BTG2"
0,0.397634110466951,0.862,0.716,0,"1","ZFAS1"
0,0.942871487089,0.287,0.141,0,"1","RILPL2"
0,0.332505718633813,0.602,0.456,0,"1","PSIP1"
0,0.982343077675846,0.28,0.135,0,"1","THEM4"
0,1.03369905329484,0.286,0.141,0,"1","SGTB"
0,0.886962234253982,0.306,0.162,0,"1","TMEM156"
0,0.265841976341616,0.57,0.426,0,"1","RASGRP1"
0,0.593325693733239,0.402,0.259,0,"1","ZNF331"
0,0.742595941335626,0.312,0.169,0,"1","PELI1"
0,0.337244101253291,0.671,0.529,0,"1","HMGB2"
0,0.289743844168934,0.896,0.754,0,"1","ETS1"
0,0.908837148051382,0.287,0.145,0,"1","LRRC8C"
0,0.327764263945945,0.563,0.421,0,"1","TSTD1"
0,0.53187486185154,0.413,0.271,0,"1","HEBP2"
0,0.303325397336251,0.716,0.575,0,"1","ARID4B"
0,0.327280146718523,0.659,0.518,0,"1","SMDT1"
0,0.300241392857922,0.672,0.532,0,"1","SAMHD1"
0,0.623717362125502,0.413,0.273,0,"1","AC026979.2"
0,0.401232526652031,0.663,0.524,0,"1","IDS"
0,0.397981172986849,0.568,0.429,0,"1","ATP5PD"
0,0.825289968704886,0.858,0.72,0,"1","TNFAIP3"
0,0.286907640793064,0.718,0.581,0,"1","SNHG8"
0,0.391052296680457,0.794,0.657,0,"1","SMCHD1"
0,0.673590414862854,0.299,0.162,0,"1","SAMSN1"
0,0.284834392123925,0.605,0.469,0,"1","TAGLN2"
0,0.343090367163249,0.789,0.653,0,"1","TRBC2"
0,0.590187975390174,0.335,0.199,0,"1","TIMP1"
0,0.911678087832648,0.297,0.161,0,"1","JMY"
0,0.496384077554805,0.416,0.28,0,"1","PDCD5"
0,0.817533731138552,0.277,0.142,0,"1","ATP8B2"
0,0.603411478117173,0.386,0.251,0,"1","RSBN1"
0,0.346882320682852,0.537,0.402,0,"1","NAP1L4"
0,0.461334740486306,0.478,0.343,0,"1","PPP1CC"
0,0.775943685692702,0.311,0.177,0,"1","DNAJB9"
0,0.434722039914286,0.442,0.308,0,"1","SVIP"
0,0.974297415337733,0.257,0.123,0,"1","FLT3LG"
0,0.552035498202154,0.382,0.249,0,"1","NECAP2"
0,0.843631511707042,0.299,0.166,0,"1","NABP1"
0,0.80621874442342,0.28,0.148,0,"1","BEX2"
0,0.331781794703913,0.783,0.651,0,"1","YPEL5"
0,0.338590607120065,0.696,0.564,0,"1","ELF1"
0,0.291133053776577,0.646,0.515,0,"1","EPB41"
0,0.293970911323684,0.773,0.642,0,"1","TOMM20"
0,0.26195301279174,0.444,0.313,0,"1","OXNAD1"
0,0.769948284893381,0.303,0.172,0,"1","BORCS5"
0,0.63015345095298,0.322,0.191,0,"1","STAT5B"
0,0.514451723232343,0.43,0.299,0,"1","MYADM"
0,0.488348931493119,0.353,0.222,0,"1","AC016831.7"
0,0.315694249971291,0.818,0.687,0,"1","FAM107B"
0,0.342995495636986,0.554,0.424,0,"1","UBALD2"
0,0.290837327375579,0.628,0.498,0,"1","ZC3HAV1"
0,0.312891521305981,0.801,0.671,0,"1","HSPA8"
0,0.574491498663054,0.348,0.218,0,"1","PDE4B"
0,0.375487321427658,0.59,0.46,0,"1","SBDS"
0,0.55205164672624,0.421,0.292,0,"1","PTGER4"
0,0.55542791167453,0.932,0.803,0,"1","HINT1"
0,0.278741810297465,0.625,0.496,0,"1","RAN"
0,0.505980093862579,0.397,0.268,0,"1","UBL3"
0,0.353641218372032,0.535,0.407,0,"1","CNN2"
0,0.559202482745539,0.379,0.251,0,"1","TSPYL1"
0,0.713200688749163,0.3,0.172,0,"1","UGCG"
0,0.558883426113885,0.35,0.222,0,"1","SFXN1"
0,0.334512187041723,0.689,0.561,0,"1","EIF3H"
0,0.446178029291379,0.437,0.31,0,"1","BCAS2"
0,0.30272000950942,0.806,0.679,0,"1","C12orf57"
0,0.254413109232237,0.661,0.535,0,"1","SEPT6"
0,0.293870618632483,0.743,0.617,0,"1","FNBP1"
0,0.310638250398404,0.636,0.51,0,"1","TUBA1A"
0,0.334430725994051,0.533,0.408,0,"1","ABRACL"
0,0.688053511558256,0.332,0.207,0,"1","AC025164.1"
0,0.325056065057815,0.459,0.334,0,"1","HECA"
0,0.466785759883777,0.406,0.281,0,"1","ARL4A"
0,0.774096556533286,0.298,0.173,0,"1","CREM"
0,0.304095389374438,0.579,0.454,0,"1","SELL"
0,0.431509817105616,0.359,0.235,0,"1","ATXN1"
0,0.34409401861372,0.405,0.281,0,"1","CD6"
0,0.431345566522157,0.417,0.294,0,"1","CCDC66"
0,0.297143370043264,0.542,0.42,0,"1","NDUFB9"
